# AiPinyin 词典 — 自动生成，请勿手动编辑
# 格式: 拼音,汉字,权重
# 共 47622 条
yifa,一发,100
yifaqianjun,一发千钧,60
yikouliangchi,一口两匙,60
yikoutongsheng,一口同声,60
yikoutongyin,一口同音,60
yikouxijinxijiangshui,一口吸尽西江水,30
yikouyaoding,一口咬定,60
yikouqi,一口气,60
yijuhua,一句话,60
yizhi,一只,100
yiyepianzhou,一叶扁舟,60
yiyebaoqiu,一叶报秋,60
yiyezhiqiu,一叶知秋,60
yiyeluozhitianxiaqiu,一叶落知天下秋,30
yiyemishan,一叶迷山,60
yiyezhangmu,一叶障目,60
yihao,一号,100
yitong,一同,100
yituweikuai,一吐为快,60
yixiang,一向,100
yiheerjiu,一呵而就,60
yihuzainuo,一呼再喏,60
yihubaiying,一呼百应,60
yimingwuhu,一命呜呼,60
yipinhong,一品红,60
yihongershang,一哄而上,60
yihongersan,一哄而散,60
yihongerqi,一哄而起,60
yikuernao,一哭二闹,60
yichangyihe,一唱一和,60
yichangbaihe,一唱百和,60
yipenyixing,一喷一醒,60
yihuier,一回儿,60
yituanheqi,一团和气,60
yichang,一场,100
yichangchunmeng,一场春梦,60
yichangmeng,一场梦,60
yichangkong,一场空,60
yichangyu,一场雨,60
yizuojinqing,一坐尽倾,60
yizuojinjing,一坐尽惊,60
yikuaishitouluoledi,一块石头落了地,30
yikuaishitouluodi,一块石头落地,30
yitahutu,一塌糊涂,60
yishengbukeng,一声不吭,60
yishengbuxiang,一声不响,60
yikuiyiqi,一夔一契,60
yixiyizhao,一夕一朝,60
yixizhijian,一夕之间,60
yiduoban,一多半,60
yiyeqing,一夜情,60
yiyezouhong,一夜走红,60
yidaban,一大半,60
yidadui,一大堆,60
yidapi,一大批,60
yidaba,一大把,60
yidazao,一大早,60
yitianyidi,一天一地,60
yitianxingdou,一天星斗,60
yifuyiqizhi,一夫一妻制,30
yifuzhiyong,一夫之勇,60
yifuzhiyong,一夫之用,60
yifudangguan,一夫当关,60
yitou,一头,100
yitoure,一头热,60
yirujiwang,一如既往,60
yikongbuda,一孔不达,60
yikongzhijian,一孔之见,60
yiziyiju,一字一句,60
yizibuyi,一字不易,60
yizibugou,一字不苟,60
yizichangcheng,一字长城,60
yizichangshezhen,一字长蛇阵,30
yiding,一定,100
yidingbuyi,一定不易,60
yidingbuyi,一定不移,60
yikebufanerzhu,一客不烦二主,30
yijia,一家,100
yijiayihu,一家一户,60
yijiayihuo,一家一火,60
yijiayiji,一家一计,60
yijiazhizhu,一家之主,60
yijiazhizuo,一家之作,60
yijiazhixue,一家之学,60
yijiazhiyan,一家之言,60
yijiazhiji,一家之计,60
yijiazhici,一家之辞,60
yijiaren,一家人,60
yijiazi,一家子,60
yijiawuer,一家无二,60
yijiajuanshu,一家眷属,60
yijialaoxiao,一家老小,60
yixiu,一宿,100
yishezhidi,一射之地,60
yixiaocuo,一小撮,60
yichenbudao,一尘不到,60
yichenburan,一尘不染,60
yichenbuzi,一尘不缁,60
yichishuishizhangbo,一尺水十丈波,30
yichishuifantengzuoyizhangbo,一尺水翻腾做一丈波,30
yichishuifantengzuobaizhangbo,一尺水翻腾做百丈波,30
yishanbucangerhu,一山不藏二虎,30
yisuizaishe,一岁载赦,60
yichaliange,一差两讹,60
yichaerwu,一差二悮,60
yichaerwu,一差二误,60
yichaercuo,一差二错,60
yichabancuo,一差半错,60
yijizhijian,一己之见,60
yifanshunfeng,一帆顺风,60
yifanfengshun,一帆风顺,60
yixizhidi,一席之地,60
yixitan,一席谈,60
yimu,一幕,100
yigan,一干,100
yiganerjing,一干二净,60
yiganrenfan,一干人犯,60
yinianyidu,一年一度,60
yiniandaotou,一年到头,60
yinianbanzai,一年半载,60
yinianji,一年级,60
yibing,一并,100
yichuanglianghao,一床两好,60
yichuangjinbeizhegai,一床锦被遮盖,30
yiying,一应,100
yiyingjuquan,一应俱全,60
yidu,一度,100
yitanzhiqing,一弹指顷,60
yichewanrong,一彻万融,60
yide,一得,100
yidezhigong,一得之功,60
yidezhiyu,一得之愚,60
yidezhijian,一得之见,60
yixinyiyi,一心一意,60
yixintongti,一心同体,60
yixintonggong,一心同功,60
yixintonggui,一心同归,60
yixinxiangwang,一心向往,60
yinianzhicha,一念之差,60
yinianzhijian,一念之间,60
yinuzhixia,一怒之下,60
yizheng,一怔,100
yixiyanyan,一息奄奄,60
yiyiguxing,一意孤行,60
yicheng,一成,100
yichengbubian,一成不变,60
yichengbuyi,一成不易,60
yiza,一扎,100
yida,一打,100
yisaoerguang,一扫而光,60
yisaoerkong,一扫而空,60
yijizhichang,一技之长,60
yibazi,一把子,60
yibashou,一把手,60
yibazhua,一把抓,60
yibasina,一把死拿,60
yibayaoshikaiyibasuo,一把钥匙开一把锁,30
yipouhuangsha,一抔黄沙,60
yibaohuanyibao,一报还一报,30
yimohei,一抹黑,60
yipaijihe,一拍即合,60
yiyongershang,一拥而上,60
yipoutu,一掊土,60
yizhibaiwan,一掷百万,60
yizuo,一撮,100
yizhibanjie,一支半节,60
yigai,一改,100
yizhengtao,一整套,60
yiwenbuzhi,一文不值,60
yiwenbuming,一文不名,60
yiwenqiannandaoyingxionghan,一文钱难倒英雄汉,30
yifangzhiren,一方之任,60
yifangmian,一方面,60
yiwukequ,一无可取,60
yiwusuode,一无所得,60
yiwusuoyou,一无所有,60
yiwusuozhi,一无所知,60
yiwusuoneng,一无所能,60
yiwusuojian,一无所见,60
yiwusuochang,一无所长,60
yiwushichu,一无是处,60
yiwuchangwu,一无长物,60
yiriwanji,一日万几,60
yiriwanji,一日万机,60
yiriwanli,一日万里,60
yirisanxing,一日三省,60
yirisanqiu,一日三秋,60
yirizhichang,一日之长,60
yidan,一旦,100
yishiyike,一时一刻,60
yishibozhong,一时伯仲,60
yishiqianzai,一时千载,60
yishibanhuier,一时半会儿,30
yishidecheng,一时得逞,60
yishishuhu,一时疏忽,60
yishijian,一时间,60
yixinger,一星儿,60
yixingbandianer,一星半点儿,30
yixianshenshou,一显身手,60
yihuang,一晃,100
yimingbushi,一暝不视,60
yipushihan,一暴十寒,60
yipushihan,一曝十寒,60
yiquyangguan,一曲阳关,60
yiyue,一月,100
yifu,一服,100
yifuyao,一服药,60
yiwangwuyin,一望无垠,60
yiwangwuya,一望无涯,60
yiwangwuji,一望无际,60
yiwangerzhi,一望而知,60
yizhao,一朝,100
yizhaoyixi,一朝一夕,60
yizhaozhifen,一朝之忿,60
yizhaozhihuan,一朝之患,60
yizhaoqianli,一朝千里,60
yichaotianziyichaochen,一朝天子一朝臣,30
yiqi,一期,100
yimunanzhi,一木难支,60
yibenwanli,一本万利,60
yibenzhengjing,一本正经,60
yitiao,一条,100
yitiaoxin,一条心,60
yitiaolong,一条龙,60
yizhennanke,一枕南柯,60
yizhiyiqi,一枝一栖,60
yizhiyijie,一枝一节,60
yizhizhiqi,一枝之栖,60
yizhixiang,一枝香,60
yiqiliangxiong,一栖两雄,60
yimenghuaxu,一梦华胥,60
yigunzidasi,一棍子打死,30
yibangyitiaohen,一棒一条痕,30
yigaierlun,一概而论,60
yitahengchen,一榻横陈,60
yimuyiyang,一模一样,60
yimoeryang,一模二样,60
yicixing,一次性,60
yibuyigejiaoyin,一步一个脚印,30
yibuyibu,一步一步,60
yibuyiqu,一步一趋,60
yibubu,一步步,60
yibubude,一步步地,60
yisiliaozhi,一死了之,60
yimaobuba,一毛不拔,60
yihaobucha,一毫不差,60
yihaoburan,一毫不染,60
yihaobugou,一毫不苟,60
yimintongsu,一民同俗,60
yiqizhixia,一气之下,60
yiqihecheng,一气呵成,60
yiyanghuatan,一氧化碳,60
yidazhi,一沓纸,60
yidachaopiao,一沓钞票,60
yibowanbo,一波万波,60
yibosanzhe,一波三折,60
yibocaidongwanbosui,一波才动万波随,30
yixiewanli,一泻万里,60
yixieqianli,一泻千里,60
yipaihuyan,一派胡言,60
yipaihuyanluanyu,一派胡言乱语,30
yiliu,一流,100
yijiangshibing,一浆十饼,60
yiqingerchu,一清二楚,60
yiqingsubi,一清宿弊,60
yiyuanbuliangjiao,一渊不两蛟,30
yiliuer,一溜儿,60
yiliuwaixie,一溜歪斜,60
yiliuyan,一溜烟,60
yiliuyanpaodiao,一溜烟跑掉,30
yiliufeng,一溜风,60
yidian,一点,100
yidianzhong,一点钟,60
yixunyiyou,一熏一莸,60
yipian,一片,100
yipiandanxin,一片丹心,60
yipianbingxin,一片冰心,60
yipiangongshang,一片宫商,60
yipiansansha,一片散沙,60
yipianhunhei,一片昏黑,60
yipianwangyang,一片汪洋,60
yipianhunluan,一片混乱,60
yipianjiaotu,一片焦土,60
yipiankongbai,一片空白,60
yiniuhoudi,一牛吼地,60
yiniumingdi,一牛鸣地,60
yiwubuzhi,一物不知,60
yiwuxiangyiwu,一物降一物,30
yihuzhiye,一狐之掖,60
yixiantanhua,一现昙华,60
yishengyishi,一生一世,60
yinanbannv,一男半女,60
yifan,一番,100
yibingbuqi,一病不起,60
yibai,一百,100
yibaiershihang,一百二十行,30
yibaiyi,一百亿,60
yibaibashidu,一百八十度,30
yipansansha,一盘散沙,60
yimuliaoran,一目了然,60
yimuwuhang,一目五行,60
yimushihang,一目十行,60
yimushuhang,一目数行,60
yizhi,一直,100
yizhizou,一直走,60
yixiangqingyuan,一相情原,60
yixiangqingyuan,一相情愿,60
yimingbushi,一瞑不视,60
yizhibanjian,一知半见,60
yizhibanjie,一知半解,60
yizhipianjie,一知片解,60
yishierniao,一石二鸟,60
yimashi,一码事,60
yizhuanyiwa,一砖一瓦,60
yibiwanqing,一碧万顷,60
yishenjiao,一神教,60
yibingdagong,一秉大公,60
yizhong,一种,100
yikongyibang,一空依傍,60
yiqiaobutong,一窍不通,60
yiwofeng,一窝风,60
yiganzichadaodi,一竿子插到底,30
yixiaoliaozhi,一笑了之,60
yixiaoleshi,一笑了事,60
yibibugou,一笔不苟,60
yibigouduan,一笔勾断,60
yibigouxiao,一笔勾消,60
yibigouxiao,一笔勾销,60
yibidaiguo,一笔带过,60
yibimosa,一笔抹摋,60
yibimosha,一笔抹杀,60
yibimosha,一笔抹煞,60
yidengjiang,一等奖,60
yichoumozhan,一筹莫展,60
yijianshangduo,一箭上垛,60
yijianzhidi,一箭之地,60
yipianwenzhang,一篇文章,60
yimixian,一米线,60
yixilie,一系列,60
yisuodenan,一索得男,60
yizhikongwen,一纸空文,60
yixianzhige,一线之隔,60
yiyuanyihui,一缘一会,60
yiwangjinsao,一网尽扫,60
yiwangdajin,一网打尽,60
yizhe,一者,100
yierzai,一而再,60
yiduzi,一肚子,60
yigujin,一股劲,60
yigujiner,一股劲儿,60
yizhiyijie,一肢一节,60
yizhibanjie,一肢半节,60
yimaitongqi,一脉同气,60
yimaixiangchuan,一脉相传,60
yimaixiangcheng,一脉相承,60
yimaixiangtong,一脉相通,60
yimaixiangyan,一脉香烟,60
yijiaobuyi,一脚不移,60
yibizhili,一臂之力,60
yizhi,一致,100
yiban,一般,100
yibanhua,一般化,60
yibanjianshi,一般见识,60
yisouchuan,一艘船,60
yiweikehang,一苇可航,60
yiluoqianzhang,一落千丈,60
yihubuhe,一虎不河,60
yisheliangtou,一蛇两头,60
yixieburuyixie,一蟹不如一蟹,30
yixing,一行,100
yixingren,一行人,60
yixingzuoli,一行作吏,60
yihuaierlun,一褱而论,60
yijianliaoran,一见了然,60
yijianqingxin,一见倾心,60
yijianrugu,一见如故,60
yijianrujiu,一见如旧,60
yijianzhongqing,一见钟情,60
yishitongren,一视同仁,60
yilanwuyi,一览无遗,60
yijiao,一觉,100
yijiao,一角,100
yichujifa,一触即发,60
yichujikui,一触即溃,60
yiyanyixing,一言一行,60
yiyanbufa,一言不发,60
yiyanliangyu,一言两语,60
yiyansangbang,一言丧邦,60
yiyanzhongdi,一言中的,60
yiyanweiding,一言为定,60
yiyanjiuding,一言九鼎,60
yiyanxingbang,一言兴邦,60
yiyanbanju,一言半句,60
yiyanbanyu,一言半语,60
yiyannanjin,一言难尽,60
yiyuzhongren,一语中人,60
yiyuzhongdi,一语中的,60
yiyushuangguan,一语双关,60
yiyupodi,一语破的,60
yiyudaopo,一语道破,60
yinuoqianjin,一诺千金,60
yigubusheng,一谷不升,60
yigubudeng,一谷不登,60
yibaitudi,一败涂地,60
yipinruxi,一贫如洗,60
yiguan,一贯,100
yiguanxing,一贯性,60
yizouliaozhi,一走了之,60
yiqi,一起,100
yidiebuzhen,一跌不振,60
yilupingan,一路平安,60
yilushenqi,一路神祇,60
yilushunfeng,一路顺风,60
yilufengchen,一路风尘,60
yilufengqing,一路风清,60
yicukeji,一蹴可几,60
yicuerjiu,一蹴而就,60
yicuerde,一蹴而得,60
yijuebuxing,一蹶不兴,60
yijuebuzhen,一蹶不振,60
yishenliangtou,一身两头,60
yishenerren,一身二任,60
yishenererren,一身而二任,30
yishendoushidan,一身都是胆,30
yiguitongfeng,一轨同风,60
yizhuanyan,一转眼,60
yihongersan,一轰而散,60
yicitonggui,一辞同轨,60
yicimozan,一辞莫赞,60
yibiandao,一边倒,60
yiyingyihe,一迎一和,60
yihuanyibao,一还一报,60
yilianqier,一连气儿,60
yituiliuerwu,一退六二五,30
yitong,一通,100
yiqiuzhihe,一邱之貉,60
yizuijieqianchou,一醉解千愁,30
yichongyiyan,一重一掩,60
yizhenjianxie,一针见血,60
yiqianbuzhi,一钱不值,60
yiqianbuming,一钱不名,60
yiqianbuluoxukongdi,一钱不落虚空地,30
yiguozhou,一锅粥,60
yichangyiduan,一长一短,60
yichangliangduan,一长两短,60
yichangchuan,一长串,60
yichangerduan,一长二短,60
yichangbanduan,一长半短,60
yimentongqi,一门同气,60
yimenxinsi,一门心思,60
yiwensanbuzhi,一问三不知,30
yizhenfeng,一阵风,60
yiyu,一隅,100
yiyuzhidi,一隅之地,60
yiyuzhijian,一隅之见,60
yiyuzhishuo,一隅之说,60
yishana,一霎那,60
yimian,一面,100
yimianzhiyuan,一面之缘,60
yimianzhishi,一面之识,60
yimiandao,一面倒,60
yibianyitiaohen,一鞭一条痕,30
yibianxianzhuo,一鞭先著,60
yifengchui,一风吹,60
yifeichongtian,一飞冲天,60
yifansantubu,一饭三吐哺,30
yimadangxian,一马当先,60
yiduoliang,一驮粮,60
yigulu,一骨碌,60
yilinyizhao,一鳞一爪,60
yilinbanzhao,一鳞半爪,60
yilinpianzhao,一鳞片爪,60
yilinpianjia,一鳞片甲,60
yimingjingren,一鸣惊人,60
yiqi,一齐,100
yiqizhongchu,一齐众楚,60
yilongyishe,一龙一蛇,60
dingyimaoer,丁一卯二,60
dingyiqueer,丁一确二,60
dingding,丁丁,100
dingdingdangdang,丁丁当当,60
dingchou,丁丑,100
dingdong,丁东,100
dinghai,丁亥,100
dinggongzaojing,丁公凿井,60
dinggongteng,丁公藤,60
dingdong,丁冬,100
dingmao,丁卯,100
dingba,丁坝,100
dingzi,丁字,100
dingzichi,丁字尺,60
dingzixing,丁字形,60
dingzijie,丁字街,60
dingning,丁宁,100
dingdang,丁当,100
dingyou,丁忧,100
dingwei,丁未,100
dingdianer,丁点儿,60
dingjian,丁艰,100
dingling,丁零,100
dinglingdanglang,丁零当啷,60
dingxiang,丁香,100
dingxianghua,丁香花,60
qishangbaxia,七上八下,60
qishangbaluo,七上八落,60
qilebadang,七了八当,60
qishierhang,七十二行,60
qiyeyizhihua,七叶一枝花,30
qiyeshu,七叶树,60
qida,七大,100
qidabaxiao,七大八小,60
qidazhou,七大洲,60
qichizhiqu,七尺之躯,60
qikaibade,七开八得,60
qiqingliuyu,七情六欲,60
qizhebakou,七折八扣,60
qidanbanuo,七担八挪,60
qilabache,七拉八扯,60
qigongbaqiao,七拱八翘,60
qiqinqizong,七擒七纵,60
qilengbaban,七棱八瓣,60
qihengbashu,七横八竖,60
qiciliangyiyicicai,七次量衣一次裁,30
qibubacha,七步八叉,60
qibingbadao,七病八倒,60
qixiangwugong,七相五公,60
qiqiaomaohuo,七窍冒火,60
qizongqiqin,七纵七擒,60
qizongqiqin,七纵七禽,60
qizongbaheng,七纵八横,60
qilaobadao,七老八倒,60
qihangjuxia,七行俱下,60
qiyanbayu,七言八语,60
qifanhuandan,七返还丹,60
qichangbaduan,七长八短,60
qilingbaluo,七零八落,60
qidianbadao,七颠八倒,60
wanyi,万一,100
wanwan,万万,100
wanwanqianqian,万万千千,60
wanzhang,万丈,100
wanzhangshenyuan,万丈深渊,60
wanzhanggaoloupingdiqi,万丈高楼平地起,30
wanbushiyi,万不失一,60
wanbudeyi,万不得已,60
wanshi,万世,100
wanshiyishi,万世一时,60
wanshibuyi,万世不易,60
wanshishibiao,万世师表,60
wanshiwujiang,万世无疆,60
wanshiliufang,万世流芳,60
wanshi,万事,100
wanshihengtong,万事亨通,60
wanshijubei,万事俱备,60
wanshidaji,万事大吉,60
wanshitong,万事通,60
wanrenzhidi,万人之敌,60
wanrenkeng,万人坑,60
wanrenkongxiang,万人空巷,60
wandaiqianqiu,万代千秋,60
wanzhong,万众,100
wanzhongyixin,万众一心,60
moqi,万俟,100
wanerbaqian,万儿八千,60
wanquan,万全,100
wanquanzhice,万全之策,60
wanquanzhiji,万全之计,60
wanfen,万分,100
wanbieqiancha,万别千差,60
wanjiebufu,万劫不复,60
wanqian,万千,100
wanjuan,万卷,100
wanli,万历,100
wanbianbuliqizong,万变不离其宗,30
wankouyici,万口一词,60
wankouyitan,万口一谈,60
wankouyici,万口一辞,60
wangu,万古,100
wanguqianqiu,万古千秋,60
wanguliufang,万古流芳,60
wanguliufang,万古留芳,60
wanguchangcun,万古长存,60
wanguchangchun,万古长春,60
wanguchangqing,万古长青,60
